dimension,block_dimension,time,l1_misses,l2_misses
4096,128,54.941,9887546459,32582793656
4096,128,54.679,9888372791,32067703460
4096,128,54.516,9906868793,31807394883
4096,256,54.845,9227987323,22697390103
4096,256,54.065,9223138584,22596342149
4096,256,54.515,9221457818,22381516496
4096,512,57.723,8906619837,20125649568
4096,512,57.611,8907801282,20042792153
4096,512,57.357,8907368240,20032167538
6144,128,186.321,33277096618,110549886909
6144,128,185.585,33300620091,110212445291
6144,128,185.082,33275658336,108743556980
6144,256,162.523,31104939080,76332960580
6144,256,162.239,31099762521,75930008289
6144,256,162.144,31097733711,75298957129
6144,512,164.742,30031877739,68145388926
6144,512,166.171,30035916013,67675962947
6144,512,166.363,30034460569,69076563015
8192,128,532.692,79333313533,255064015113
8192,128,562.813,79184631747,260175689207
8192,128,531.951,79299729389,255563424054
8192,256,564.030,74052268653,171147152267
8192,256,566.047,74019085760,171599027087
8192,256,564.247,74049739775,171636094365
8192,512,497.446,71414714596,158434573036
8192,512,502.504,71420892022,159021335014
8192,512,505.753,71418723415,161017160633
10240,128,852.559,154545726878,510374179429
10240,128,851.286,154527808460,503953652551
10240,128,859.083,154541340094,513632609894
10240,256,747.985,143982516249,350214978074
10240,256,747.653,143998035162,350113934787
10240,256,747.968,143988513917,348485397570
10240,512,769.464,139013710991,317252523380
10240,512,754.879,138986591990,313095436862
10240,512,767.588,138998944049,313406060074
