dimension,time,l1_misses,l2_misses
600,0.327,312638332,75883402
600,0.328,312574286,75726954
600,0.328,312627431,74738401
1000,1.709,1129670027,165230694
1000,1.571,1129682114,169301483
1000,1.573,1129675156,169843705
1400,4.980,3095923075,419518714
1400,4.956,3096219329,418437448
1400,4.967,3096186410,419282529
1800,12.051,6579948386,905752762
1800,12.020,6579567288,903787622
1800,11.914,6580186051,911313825
2200,23.559,12002085818,1897890603
2200,23.484,12003023960,1963281100
2200,23.447,12002957037,1947559174
2600,40.549,19806831980,5802589268
2600,40.222,19807379883,5887139541
2600,40.241,19806949284,5880129280
3000,60.383,30424480405,16022247748
3000,60.299,30424577852,16063091570
3000,60.299,30424863146,15900752265
