dimension,block_dimension,time
4096,128,43.446
4096,128,45.050
4096,128,44.952
4096,256,41.986
4096,256,42.781
4096,256,42.806
4096,512,43.062
4096,512,43.555
4096,512,43.102
6144,128,145.953
6144,128,148.843
6144,128,146.677
6144,256,118.147
6144,256,119.601
6144,256,119.892
6144,512,119.494
6144,512,118.642
6144,512,118.442
8192,128,453.709
8192,128,466.350
8192,128,466.876
8192,256,450.783
8192,256,452.457
8192,256,452.375
8192,512,393.962
8192,512,384.517
8192,512,384.023
10240,128,671.539
10240,128,684.121
10240,128,696.255
10240,256,553.385
10240,256,547.697
10240,256,552.129
10240,512,545.012
10240,512,535.370
10240,512,544.063
